"filename", "language", "JSON", "TypeScript", "JSON with Comments", "HTML", "JavaScript", "CSS", "Markdown", "XML", "MS SQL", "comment", "blank", "total"
"c:\Users\MSI\Desktop\STAJ22001\astro-project\.agents\skills\task.md", "Markdown", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 1, 32
"c:\Users\MSI\Desktop\STAJ22001\astro-project\AGENTS.md", "Markdown", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 8, 23
"c:\Users\MSI\Desktop\STAJ22001\astro-project\CLAUDE.md", "Markdown", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 8, 23
"c:\Users\MSI\Desktop\STAJ22001\astro-project\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 31, 135
"c:\Users\MSI\Desktop\STAJ22001\astro-project\SKILL.md", "Markdown", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 26, 56
"c:\Users\MSI\Desktop\STAJ22001\astro-project\astro.config.mjs", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 3, 5, 33
"c:\Users\MSI\Desktop\STAJ22001\astro-project\package-lock.json", "JSON", 5128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5129
"c:\Users\MSI\Desktop\STAJ22001\astro-project\package.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\MSI\Desktop\STAJ22001\astro-project\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\MSI\Desktop\STAJ22001\astro-project\rename.js", "JavaScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 3, 40
"c:\Users\MSI\Desktop\STAJ22001\astro-project\scripts\check_screens.cjs", "JavaScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 4, 27
"c:\Users\MSI\Desktop\STAJ22001\astro-project\scripts\check_screens.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 1, 4, 29
"c:\Users\MSI\Desktop\STAJ22001\astro-project\scripts\download_screens.cjs", "JavaScript", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 5, 38
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\jest.config.js", "JavaScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"c:\Users\MSI\Desktop\STAJ22001\astro-project\server\package-lock.json", "JSON", 9042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9043
